Number  Frequency       Percentage
0       414             0,04%
1       1053            0,11%
2       1223            0,12%
3       1291            0,13%
4       1482            0,15%
5       1599            0,16%
6       1733            0,17%
7       1960            0,20%
8       2232            0,22%
9       2501            0,25%
10      2739            0,27%
11      3092            0,31%
12      3326            0,33%
13      3710            0,37%
14      3975            0,40%
15      4466            0,45%
16      4832            0,48%
17      5130            0,51%
18      5505            0,55%
19      6026            0,60%
20      6687            0,67%
21      7098            0,71%
22      7686            0,77%
23      8202            0,82%
24      8657            0,87%
25      9158            0,92%
26      9867            0,99%
27      10343           1,03%
28      10936           1,09%
29      11528           1,15%
30      12328           1,23%
31      12789           1,28%
32      13454           1,35%
33      14245           1,42%
34      14660           1,47%
35      15163           1,52%
36      15875           1,59%
37      16455           1,65%
38      16960           1,70%
39      17270           1,73%
40      18075           1,81%
41      18042           1,80%
42      18514           1,85%
43      19115           1,91%
44      19276           1,93%
45      19494           1,95%
46      19535           1,95%
47      20193           2,02%
48      20267           2,03%
49      20201           2,02%
50      20290           2,03%
51      19997           2,00%
52      19768           1,98%
53      19899           1,99%
54      19915           1,99%
55      19629           1,96%
56      19511           1,95%
57      18974           1,90%
58      18483           1,85%
59      18246           1,82%
60      17967           1,80%
61      17212           1,72%
62      16839           1,68%
63      16214           1,62%
64      15782           1,58%
65      15195           1,52%
66      14657           1,47%
67      14109           1,41%
68      13298           1,33%
69      12756           1,28%
70      12360           1,24%
71      11738           1,17%
72      11160           1,12%
73      10460           1,05%
74      9876            0,99%
75      9138            0,91%
76      8683            0,87%
77      8112            0,81%
78      7547            0,75%
79      7056            0,71%
80      6576            0,66%
81      6041            0,60%
82      5573            0,56%
83      5177            0,52%
84      4826            0,48%
85      4270            0,43%
86      4018            0,40%
87      3644            0,36%
88      3308            0,33%
89      3003            0,30%
90      2782            0,28%
91      2506            0,25%
92      2204            0,22%
93      2003            0,20%
94      1842            0,18%
95      1614            0,16%
96      1435            0,14%
97      1317            0,13%
98      1132            0,11%
99      1022            0,10%
100     474             0,05%
Total   1000000         100,00%
